,model,precision,recall,F1,accuracy
1,XGBoost final,0.8823529411764706,0.6777996070726916,0.7666666666666667,0.916
0,XGBoost CV,0.7323264774202992,0.5176727740276438,0.6063407759513384,0.8630666666666666
0,random forest CV,0.7825898583335003,0.49475195542697953,0.6054119046668689,0.8689333333333333
0,decision tree CV,0.6693525787722007,0.48886531661845056,0.5641403633119598,0.8466666666666667
1,decision tree baseline,0.467680608365019,0.48330058939096265,0.4753623188405797,0.7828
